EXPERIMENT ID	PUBMED ID	SPECIES	EXPERIMENT DESCRIPTION	SAMPLE	SAMPLE SOURCE	SAMPLE NAME	IDENTIFICATIONS	METHODS	YEAR	ISOLATION METHOD	VESICLE TYPE
1177	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Persistent patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1178	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Intermittent patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1179	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Persistent MA patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1180	29854963	Homo sapiens	Genome-wide Profiling of Urinary Extracellular Vesicle microRNAs Associated With Diabetic Nephropathy in Type 1 Diabetes.	Urine	ts	Intermittent MA patient	miRNA	RNA sequencing|qPCR	2017	qEV size-exclusion column	Extracellular vesicles
1181	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	MML-1 cells	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1182	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	MML-1 cells treated with Vemurafenib	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1183	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	A375 treated with Vemurafenib	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1184	28684402	Homo sapiens	BRAFV600 inhibition alters the microRNA cargo in the vesicular secretome of malignant melanoma cells	Melanoma cells	cl	MML-1 cells treated with dabrafenib	miRNA	Next generation sequencing|qPCR	2017	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1185	28042326	Homo sapiens	Exosomes derived from miR-140-5p-overexpressing human synovial mesenchymal stem cells enhance cartilage tissue regeneration and prevent osteoarthritis of the knee in a rat model.	Synovial mesenchymal stem cells	ts	SMSCs	miRNA	qPCR|Western blotting	2017	Differential centrifugation|Filtration|Sucrose density gradient	Exosomes
1186	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa P40	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1187	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa P200	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1188	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa SN200	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1189	28326167	Homo sapiens	Residual urinary extracellular vesicles in ultracentrifugation supernatants after hydrostatic filtration dialysis enrichment.	Urine	ts	Pelelt, HFDa 	Protein	Mass spectrometry|Western blotting	2016	Hydrostatic filtration dialysis|Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1190	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	LNCaP	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1191	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	LNCaP, DHT treatment	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1192	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	LNCaP, EtOH	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1193	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	DUCaP 	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1194	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	DUCaP, DHT treatment	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1195	28881726	Homo sapiens	Modulation of paracrine signaling by CD9 positive small extracellular vesicles mediates cellular growth of androgen deprived prostate cancer.	Prostate cancer cells	cl	DUCaP, EtOH	Protein	Mass spectrometry|Western blotting	2016	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1196	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Plasma	ts	Two weeks before bariatric surgery	miRNA|Metabolites	Microarray	2017	ExoQuick	Exosomes
1197	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Plasma	ts	One year after bariatric surgery	miRNA|Metabolites	Microarray	2017	ExoQuick	Exosomes
1198	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Serum	ts	Two weeks before bariatric surgery	miRNA|Metabolites	Mass spectrometry	2017	ExoQuick	Exosomes
1199	27883272	Homo sapiens	Circulating adipocyte-derived exosomal MicroRNAs associated with decreased insulin resistance after gastric bypass.	Serum	ts	One year after bariatric surgery	miRNA|Metabolites	Mass spectrometry	2017	ExoQuick	Exosomes
1200	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Cerebrospinal fluid	ts	Healthy donor 1	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1201	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Cerebrospinal fluid	ts	Healthy donor 2	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1202	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Cerebrospinal fluid	ts	Cerebrospinal fluid	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1203	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Serum	ts	Healthy donor 1	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1204	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Serum	ts	Healthy donor 2	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1205	27780738	Homo sapiens	Next-generation sequencing-based small RNA profiling of cerebrospinal fluid exosomes.	Serum	ts	Serum	miRNA	Next generation sequencing	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1206	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	BEAS-2B untreated	Protein	Western blotting	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1207	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultrafiltration and size exclusion chromatography sample 1	Protein	Mass spectrometry	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1208	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultrafiltration and size exclusion chromatography sample 2	Protein	Mass spectrometry	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1209	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultrafiltration and size exclusion chromatography sample 3	Protein	Mass spectrometry	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1210	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultrafiltration and size exclusion chromatography sample 4	Protein	Mass spectrometry	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1211	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultrafiltration and size exclusion chromatography sample 5	Protein	Mass spectrometry	2017	Ultrafiltration|Size exclusion chromatography	Extracellular vesicles
1212	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultracentrifugation, sample 1	Protein	Mass spectrometry	2017	Ultracentrifugation	Extracellular vesicles
1213	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultracentrifugation, sample 2	Protein	Mass spectrometry	2017	Ultracentrifugation	Extracellular vesicles
1214	29127410	Homo sapiens	Ultrafiltration combined with size exclusion chromatography efficiently isolates extracellular vesicles from cell culture media for compositional and functional studies.	Bronchial epithelial cells	cl	Ultracentrifugation, sample 3	Protein	Mass spectrometry	2017	Ultracentrifugation	Extracellular vesicles
1215	27872147	Rattus norvegicus	Primary Human and Rat .-Cells Release the Intracellular Autoantigens GAD65, IA-2, and Proinsulin in Exosomes Together With Cytokine-Induced Enhancers of Immunity.	Islets	ts	Rat interleukin (IL)-1. (10 units/mL)- 4h	Protein	Western blotting	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1216	27872147	Rattus norvegicus	Primary Human and Rat .-Cells Release the Intracellular Autoantigens GAD65, IA-2, and Proinsulin in Exosomes Together With Cytokine-Induced Enhancers of Immunity.	Islets	ts	Rat interleukin (IL)-1. (10 units/mL)- 8h	Protein	Western blotting	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1217	27872147	Rattus norvegicus	Primary Human and Rat .-Cells Release the Intracellular Autoantigens GAD65, IA-2, and Proinsulin in Exosomes Together With Cytokine-Induced Enhancers of Immunity.	Islets	ts	Rat interleukin (IL)-1. (10 units/mL)- 24h	Protein	Western blotting	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1218	27872147	Homo sapiens	Primary Human and Rat .-Cells Release the Intracellular Autoantigens GAD65, IA-2, and Proinsulin in Exosomes Together With Cytokine-Induced Enhancers of Immunity.	Islets	ts	Human IL-1. (20 units/mL)	Protein	Western blotting|Mass spectrometry	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1219	27872147	Homo sapiens	Primary Human and Rat .-Cells Release the Intracellular Autoantigens GAD65, IA-2, and Proinsulin in Exosomes Together With Cytokine-Induced Enhancers of Immunity.	Islets	ts	HmanIFN-. (10 units/mL) 	Protein	Western blotting	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1220	27872147	Rattus norvegicus	Primary Human and Rat .-Cells Release the Intracellular Autoantigens GAD65, IA-2, and Proinsulin in Exosomes Together With Cytokine-Induced Enhancers of Immunity.	Insulinoma cells	cl	INS-1E cells	Protein	Mass spectrometry	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1221	27872147	Rattus norvegicus	Primary Human and Rat .-Cells Release the Intracellular Autoantigens GAD65, IA-2, and Proinsulin in Exosomes Together With Cytokine-Induced Enhancers of Immunity.	Insulinoma cells	ts	Rat interleukin (IL)-1. (10 units/mL)	Protein	Mass spectrometry	2017	Differential centrifugation|Ultracentrifugation	Exosomes
1222	26272980	Homo sapiens	Proteomic Profiling of Detergent Resistant Membranes (Lipid Rafts) of Prostasomes	Seminal plasma 	ts	Seminal plasma 	Protein	Mass spectrometry	2015	Ultracentrifugation|Density gradient centrifugation	Prostasomes
1223	26154623	Homo sapiens	Size-exclusion chromatography as a stand-alone methodology identifies novel markers in mass spectrometry analyses of plasma-derived vesicles from healthy individuals	Plasma	ts	Donar 1	Protein	Mass spectrometry	2015	Exo-spin	Extracellular vesicles
1224	26154623	Homo sapiens	Size-exclusion chromatography as a stand-alone methodology identifies novel markers in mass spectrometry analyses of plasma-derived vesicles from healthy individuals	Plasma	ts	Donar 2	Protein	Mass spectrometry	2015	Exo-spin	Extracellular vesicles
1225	26154623	Homo sapiens	Size-exclusion chromatography as a stand-alone methodology identifies novel markers in mass spectrometry analyses of plasma-derived vesicles from healthy individuals	Plasma	ts	Donar 3	Protein	Mass spectrometry	2015	Exo-spin	Extracellular vesicles
1226	26154623	Homo sapiens	Size-exclusion chromatography as a stand-alone methodology identifies novel markers in mass spectrometry analyses of plasma-derived vesicles from healthy individuals	Plasma	ts	Donar 1 fr7+8	Protein	Mass spectrometry	2015	Size exclusion chromatography 	Extracellular vesicles
1227	26154623	Homo sapiens	Size-exclusion chromatography as a stand-alone methodology identifies novel markers in mass spectrometry analyses of plasma-derived vesicles from healthy individuals	Plasma	ts	Donar 1 fr9+10	Protein	Mass spectrometry	2015	Size exclusion chromatography 	Extracellular vesicles
1228	26154623	Homo sapiens	Size-exclusion chromatography as a stand-alone methodology identifies novel markers in mass spectrometry analyses of plasma-derived vesicles from healthy individuals	Plasma	ts	Donar fr11	Protein	Mass spectrometry	2015	Size exclusion chromatography 	Extracellular vesicles
1229	26154623	Homo sapiens	Size-exclusion chromatography as a stand-alone methodology identifies novel markers in mass spectrometry analyses of plasma-derived vesicles from healthy individuals	Plasma	ts	Donar 3 fr8	Protein	Mass spectrometry	2015	Size exclusion chromatography 	Extracellular vesicles
1230	25503107	Homo sapiens	Tumor-derived microvesicles mediate human breast cancer invasion through differentially glycosylated EMMPRIN.	Breast cancer cells	cl	MCF-7	Protein	Mass spectrometry|Western blotting	2015	Ultracentrifugation|Filtration|Density gradient centrifugation	Microvesicles
1231	25503107	Homo sapiens	Tumor-derived microvesicles mediate human breast cancer invasion through differentially glycosylated EMMPRIN.	Breast cancer cells	cl	SK-BR-3	Protein	Mass spectrometry|Western blotting	2015	Ultracentrifugation|Filtration|Density gradient centrifugation	Microvesicles
1232	25475747	Homo sapiens	Identification of Biomarkers for PKD1 Using Urinary Exosomes	Urine	ts	Healthy	Protein	Mass spectrometry|Western blotting	2014	Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1233	25469510	Homo sapiens	GAIP interacting protein C-terminus regulates autophagy and exosome biogenesis of pancreatic cancer through metabolic pathways.	Pancreatic cancer cells	cl	PANC-1	Protein	Western blotting	2015	Differential centrifugation|Ultracentrifugation	Exosomes
1234	25421927	Mus musculus	Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity.	Serum	ts	14 days post infection	miRNA|Protein	RT.qpcr|HPLC-MS/MS	2014	Filtration|Ultracentrifugation	Exosomes
1235	25421927	Heligmosomoides polygyrus	Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity.	Heligmosomoides polygyrus	cl	Supernatant, Secretion product replicate 1	miRNA|Protein	RT.qpcr|HPLC-MS/MS	2014	Filtration|Ultracentrifugation	Exosomes
1236	25421927	Heligmosomoides polygyrus	Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity.	Heligmosomoides polygyrus	cl	Supernatant, Secretion product replicate 2	miRNA|Protein	RT.qpcr|HPLC-MS/MS	2014	Filtration|Ultracentrifugation	Exosomes
1237	25421927	Heligmosomoides polygyrus	Exosomes secreted by nematode parasites transfer small RNAs to mammalian cells and modulate innate immunity.	Heligmosomoides polygyrus	cl	Supernatant, Secretion product replicate 3	miRNA|Protein	RT.qpcr|HPLC-MS/MS	2014	Filtration|Ultracentrifugation	Exosomes
1238	25329303	Homo sapiens	Rapid isolation of extracellular vesicles from cell culture and biological fluids using a synthetic peptide with specific affinity for heat shock proteins.	Urine	ts	Pre-digital rectal exam	Protein	Western blotting	2014	Ultracentrifugation	Extracellular vesicles
1239	25329303	Homo sapiens	Rapid isolation of extracellular vesicles from cell culture and biological fluids using a synthetic peptide with specific affinity for heat shock proteins.	Urine	ts	Pre-digital rectal exam	Protein	Western blotting	2014	Vn96 peptide precipitation	Extracellular vesicles
1240	25329303	Homo sapiens	Rapid isolation of extracellular vesicles from cell culture and biological fluids using a synthetic peptide with specific affinity for heat shock proteins.	Urine	ts	Post-digital rectal exam	Protein	Western blotting	2014	Ultracentrifugation	Extracellular vesicles
1241	25329303	Homo sapiens	Rapid isolation of extracellular vesicles from cell culture and biological fluids using a synthetic peptide with specific affinity for heat shock proteins.	Urine	ts	Post-digital rectal exam	Protein	Western blotting	2014	Vn96 peptide precipitation	Extracellular vesicles
1242	25261722	Homo sapiens	Inflammatory cytokines, interleukin-1 beta and tumor necrosis factor-alpha, upregulated in glioblastoma multiforme, raise the levels of CRYAB in exosomes secreted by U373 glioma cells.	Glioblastoma cells	cl	U373 cells treated with 10ng/ml of IL-1. 	Protein	Mass spectrometry|Western blotting	2014	Differential centrifugation|Ultracentrifugation	Exosomes
1243	25261722	Homo sapiens	Inflammatory cytokines, interleukin-1 beta and tumor necrosis factor-alpha, upregulated in glioblastoma multiforme, raise the levels of CRYAB in exosomes secreted by U373 glioma cells.	Glioblastoma cells	cl	U373 cells treated with 10ng/ml of TNF-.	Protein	Mass spectrometry|Western blotting	2014	Differential centrifugation|Ultracentrifugation	Exosomes
1244	25167841	Homo sapiens	Antibody-coupled monolithic silica microtips for highthroughput molecular profiling of circulating exosomes.	Serum	ts	 Normal controls 	Protein	Mass spectrometry	2014	CD9 antibody to Mass Spectrometric Immunoassay monolith pipette tips	Exosomes
1245	25167841	Homo sapiens	Antibody-coupled monolithic silica microtips for highthroughput molecular profiling of circulating exosomes.	Serum	ts	Interstitial pneumonia patients 	Protein	Mass spectrometry	2014	CD9 antibody to Mass Spectrometric Immunoassay monolith pipette tips	Exosomes
1246	25167841	Homo sapiens	Antibody-coupled monolithic silica microtips for highthroughput molecular profiling of circulating exosomes.	Serum	ts	Lung adenocarcinoma patients	Protein	Mass spectrometry	2014	CD9 antibody to Mass Spectrometric Immunoassay monolith pipette tips	Exosomes
1247	25167841	Homo sapiens	Antibody-coupled monolithic silica microtips for highthroughput molecular profiling of circulating exosomes.	Serum	ts	Lung squamous cell carcinoma patients 	Protein	Mass spectrometry	2014	CD9 antibody to Mass Spectrometric Immunoassay monolith pipette tips	Exosomes
1248	24939845	Homo sapiens	Human T-lymphotropic virus type 1-infected cells secrete exosomes that contain Tax protein.	Leukemia cells	cl	CEM - uninfected	Protein	Mass spectrometry|Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1249	24939845	Homo sapiens	Human T-lymphotropic virus type 1-infected cells secrete exosomes that contain Tax protein.	Leukemia cells	cl	C81 - HTLV-1 infected	Protein	Mass spectrometry|Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1250	24939845	Homo sapiens	Human T-lymphotropic virus type 1-infected cells secrete exosomes that contain Tax protein.	Leukemia cells	cl	MT2 - HTLV-1 infected	Protein	Mass spectrometry|Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1251	24939845	Homo sapiens	Human T-lymphotropic virus type 1-infected cells secrete exosomes that contain Tax protein.	Leukemia cells	cl	ED-40515 -HTLV-1 infected	Protein	Mass spectrometry|Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1252	24939845	Homo sapiens	Human T-lymphotropic virus type 1-infected cells secrete exosomes that contain Tax protein.	T cells	cl	Jurkat T-cells	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1253	24939845	Homo sapiens	Human T-lymphotropic virus type 1-infected cells secrete exosomes that contain Tax protein.	T cells	cl	Jurkat T-cells with pACH 	Protein	Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation	Exosomes
1254	24468161	Homo sapiens	Molecular characterization of exosome-like vesicles from breast cancer cells.	Breast cancer cells	cl	MCF7	Protein|miRNA	Mass spectrometry|Microarray|RT-PCR|Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1255	24468161	Homo sapiens	Molecular characterization of exosome-like vesicles from breast cancer cells.	Breast cancer cells	cl	MDA-MB231	Protein|miRNA	Mass spectrometry|Microarray|RT-PCR|Western blotting	2014	Differential centrifugation|Filtration|Ultracentrifugation|Density gradient centrifugation	Extracellular vesicles
1256	24400796	Homo sapiens	Exosomal proteins in the aqueous humor as novel biomarkers in patients with neovascular age-related macular degeneration.	Retinal pigment epithelial cells	cl	ARPE-19	Protein	Mass spectrometry|Western blotting	2014	ExoQuick	Exosomes
1257	24400796	Homo sapiens	Exosomal proteins in the aqueous humor as novel biomarkers in patients with neovascular age-related macular degeneration.	Retinal pigment epithelial cells	cl	ARPE-19 400 µM paraquat	Protein	Mass spectrometry|Western blotting	2014	ExoQuick	Exosomes
1258	24400796	Homo sapiens	Exosomal proteins in the aqueous humor as novel biomarkers in patients with neovascular age-related macular degeneration.	Aqueous humor 	ts	Age-related macular degeneration patients	Protein	Mass spectrometry|Western blotting	2014	ExoQuick	Exosomes
1259	24400796	Rattus norvegicus	Exosomal proteins in the aqueous humor as novel biomarkers in patients with neovascular age-related macular degeneration.	Retinal glial cells	ts	Mücells	Protein	Mass spectrometry	2014	ExoQuick	Exosomes
1260	24371517	Homo sapiens	Exosomal ITGA3 interferes with non-cancerous prostate cell functions and is increased in urine exosomes of metastatic prostate cancer patients.	Prostate cancer cells	cl	LNCaP	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1261	24371517	Homo sapiens	Exosomal ITGA3 interferes with non-cancerous prostate cell functions and is increased in urine exosomes of metastatic prostate cancer patients.	Prostate cancer cells	cl	PC3	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1262	24371517	Homo sapiens	Exosomal ITGA3 interferes with non-cancerous prostate cell functions and is increased in urine exosomes of metastatic prostate cancer patients.	Urine	ts	Benign prostate hyperplasia	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1263	24371517	Homo sapiens	Exosomal ITGA3 interferes with non-cancerous prostate cell functions and is increased in urine exosomes of metastatic prostate cancer patients.	Urine	ts	Prostate cancer 	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1264	24371517	Homo sapiens	Exosomal ITGA3 interferes with non-cancerous prostate cell functions and is increased in urine exosomes of metastatic prostate cancer patients.	Urine	ts	Metastatic prostate cancer 	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1265	24310399	Homo sapiens	Extracellular vesicles modulate the glioblastoma microenvironment via a tumor suppression signaling network directed by miR-1.	Glioblastoma cells	cl	U87 cells  - control	Protein	Mass spectrometry	2014	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1266	24310399	Homo sapiens	Extracellular vesicles modulate the glioblastoma microenvironment via a tumor suppression signaling network directed by miR-1.	Glioblastoma cells	cl	U87 cells + miRNA-1	Protein	Mass spectrometry	2014	Differential centrifugation|Filtration|Ultracentrifugation	Extracellular vesicles
1267	24218614	Homo sapiens	Unexpected gain of function for the scaffolding protein plectin due to mislocalization in pancreatic cancer.	Pancreatic cancer cells	cl	Bxpc 3 Cells	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1268	24218614	Homo sapiens	Unexpected gain of function for the scaffolding protein plectin due to mislocalization in pancreatic cancer.	Pancreatic cancer cells	cl	Panc-1	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1269	24218614	Homo sapiens	Unexpected gain of function for the scaffolding protein plectin due to mislocalization in pancreatic cancer.	Pancreatic cancer cells	cl	 L3.6pl- wild type cells	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1270	24218614	Homo sapiens	Unexpected gain of function for the scaffolding protein plectin due to mislocalization in pancreatic cancer.	Pancreatic cancer cells	cl	 L3.6pl- plectin knockdown	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Ultracentrifugation	Exosomes
1271	24058411	Homo sapiens	Osteoprotegerin in exosome-like vesicles from human cultured tubular cells and urine.	Proximal tubular epithelial cells	cl	HK-2 	Protein	Mass spectrometry|Western blotting	2013	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1272	24058411	Homo sapiens	Osteoprotegerin in exosome-like vesicles from human cultured tubular cells and urine.	Urine	ts	Healthy volunteers 	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1273	24058411	Homo sapiens	Osteoprotegerin in exosome-like vesicles from human cultured tubular cells and urine.	Urine	ts	chronic kidney disease patients	Protein	Western blotting	2013	Differential centrifugation|Ultracentrifugation	Extracellular vesicles
1274	23807490	Homo sapiens	Glioma microvesicles carry selectively packaged coding and non-coding RNAs which alter gene expression in recipient cells.	Glioblastoma cells	cl	U251 cells	Protein|miRNA	Mass spectrometry|Microarray	2013	Differential centrifugation	Microvesicles
1275	23489476	Sus scrofa	Boar seminal plasma exosomes: effect on sperm function and protein identification by sequencing.	Seminal plasma	ts	Boar semen exosomes	Protein	Mass spectrometry	2013	Differential centrifugation|Gel filtration|Ultracentrifugation	Exosomes
1276	23344851	Rattus norvegicus	Urinary exosomes and diabetic nephropathy: a proteomic approach.	Urine	ts	Control	Protein	Mass spectrometry|Western blotting	2013	Ultracentrifugation	Exosomes
1277	23344851	Rattus norvegicus	Urinary exosomes and diabetic nephropathy: a proteomic approach.	Urine	ts	Diabetic	Protein	Mass spectrometry|Western blotting	2013	Ultracentrifugation	Exosomes
1278	22437826	Drosophila melanogaster 	Mechanism of evenness interrupted (Evi)-exosome release at synaptic boutons.	Drosophila S2 cells	cl	S2 cells	Protein	Mass spectrometry	2012	Ultracentrifugation|Density gradient centrifugation	Exosomes
1279	22345510	Rattus norvegicus	Characterization of membrane-shed microvesicles from cytokine-stimulated .-cells using proteomics strategies.	Insulinoma cells	cl	NHI 6F Tu28, cytokine-stimulated Replicate 1	Protein	Mass spectrometry	2012	Differential centrifugation	Microparticles
1280	22345510	Rattus norvegicus	Characterization of membrane-shed microvesicles from cytokine-stimulated .-cells using proteomics strategies.	Insulinoma cells	cl	NHI 6F Tu28, cytokine-stimulated Replicate 2	Protein	Mass spectrometry	2012	Differential centrifugation	Microparticles
1281	22345510	Rattus norvegicus	Characterization of membrane-shed microvesicles from cytokine-stimulated .-cells using proteomics strategies.	Insulinoma cells	cl	NHI 6F Tu28, cytokine-stimulated Replicate 3	Protein	Mass spectrometry	2012	Differential centrifugation	Microparticles
